pk,sid,name,access,licence,group_count,individual_count,intervention_count,output_count,timecourse_count,scatter_count,title,pmid,substances
891,PKDB00001,Abernethy1985,public,closed,3,54,1,64,0,0,Impairment of caffeine clearance by chronic use of low-dose oestrogen-containing oral contraceptives.,4029248,caf caffeine caffeine (137x)
892,PKDB00427,Abernethy1985a,public,open,3,197,1,322,2,4,Caffeine disposition in obesity.,4027137,caf caffeine caffeine (137x)
894,PKDB00003,Amchin1999,public,closed,1,16,2,100,2,0,Effect of venlafaxine on CYP1A2-dependent pharmacokinetics and metabolism of caffeine.,10073324,"caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) 17u 17u 1,7-dimethyluric acid (17u) tb theobromine theobromine (37x) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) aamu aamu 5-acetylamino-6-amino-3-methyluracil (aamu) venlafaxine venlafaxine venlafaxine"
895,PKDB00428,Armani2017,public,closed,1,0,5,208,8,0,Drug Interaction Potential of Osilodrostat (LCI699) Based on Its Effect on the Pharmacokinetics of Probe Drugs of Cytochrome P450 Enzymes in Healthy Adults.,28155129,caf caffeine caffeine (137x) midazolam midazolam midazolam omeprazole omeprazole omeprazole dmt dextromethorphan dextromethorphan osilodostrat osilodostrat osilodostrat
896,PKDB00429,Arnaud1981,public,closed,1,0,4,106,4,0,Theophylline and caffeine metabolism in man,,"caf caffeine caffeine (137x) 137u 137u 1,3,7-trimethyluric acid (137u) px paraxanthine paraxanthine (17x) 17u 17u 1,7-dimethyluric acid (17u) tp theophylline theophylline (13x) 13u 13u 1,3-dimethyluric acid (13u) tb theobromine theobromine (37x) 37u 37u 3,7-dimethyluric acid (37u) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) 3x 3x 3-methylxanthine (3x) 3u 3u 3-methyluric acid (3u) 7x 7x 7-methylxanthine (7x) 7u 7u 7-methyluric acid (7u) afmu afmu 5-acetylamino-6-formylamino-3-methyluracil (afmu) aamu aamu 5-acetylamino-6-amino-3-methyluracil (aamu) admu admu admu a1u a1u 6-amino-5-(formyl-n-methylamino)-1-methyluracil (a1u) a3u a3u 6-amino-5-(formyl-n-methylamino)-1-methyluracil (a3u)"
897,PKDB00430,Arold2005,public,closed,7,56,6,549,12,0,"No relevant interaction with alprazolam, caffeine, tolbutamide, and digoxin by treatment with a low-hyperforin St John's wort extract.",15856409,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) alprazolam alprazolam alprazolam tolbutamide tolbutamide tolbutamide 4-hydroxytolbutamide 4-hydroxytolbutamide 4-hydroxytolbutamide digoxin digoxin digoxin st-johns-wort-extract st john's wort extract st. john's wort extract
898,PKDB00431,Axelrod1953,public,closed,1,3,2,84,6,0,The fate of caffeine in man and a method for its estimation in biological material.,13053413,caf caffeine caffeine (137x)
899,PKDB00432,Azcona1995,public,closed,1,0,2,84,4,0,Evaluation of the central effects of alcohol and caffeine interaction.,8554942,caf caffeine caffeine (137x) ethanol ethanol ethanol
900,PKDB00004,Backman2008,public,closed,5,70,1,140,0,0,Effects of gender and moderate smoking on the pharmacokinetics and effects of the CYP1A2 substrate tizanidine.,17955229,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
901,PKDB00005,Balogh1992,public,closed,1,12,1,507,72,0,Intra-individual variability of caffeine elimination in healthy subjects.,1304170,caf caffeine caffeine (137x)
