pk,sid,name,access,licence,group_count,individual_count,intervention_count,output_count,timecourse_count,scatter_count,title,pmid,substances
161,PKDB00598,Lenuzza2016,public,closed,1,179,10,3404,179,0,Safety and pharmacokinetics of the CIME combination of drugs and their metabolites after a single oral dosing in healthy volunteers.,25465228,apap paracetamol paracetamol apapglu paracetamol glucuronide paracetamol glucuronide caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) midazolam midazolam midazolam 1-hydroxymidazolam 1-hydroxymidazolam 1-hydroxymidazolam tolbutamide tolbutamide tolbutamide 4-hydroxytolbutamide 4-hydroxytolbutamide 4-hydroxytolbutamide digoxin digoxin digoxin omeprazole omeprazole omeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole omeprazole-sulfone omeprazole sulfone omeprazole sulfone dmt dextromethorphan dextromethorphan dtf dextrorphan dextrorphan rosuvastatin rosuvastatin rosuvastatin repaglinide repaglinide repaglinide hydroxyrepaglinide hydroxy repaglinide hydroxy repaglinide memantine memantine memantine
969,PKDB00463,Jost1987,public,closed,4,281,4,872,76,4,Overnight salivary caffeine clearance: a liver function test suitable for routine use.,3557314,icg indocyanine green indocyanine green galactose galactose galactose caf caffeine caffeine (137x)
901,PKDB00005,Balogh1992,public,closed,1,12,1,507,72,0,Intra-individual variability of caffeine elimination in healthy subjects.,1304170,caf caffeine caffeine (137x)
1326,PVLDrugs,PVLDrugs,public,closed,3,9,3,1179,72,0,PVL Drug cocktail,PVLDrugs,caf caffeine caffeine (137x) cod codeine codeine c6g codeine-6-glucuronide codeine-6-glucuronide ncod norcodeine norcodeine mor morphine morphine m3g morphine-3-glucuronide morphine-3-glucuronide midazolam midazolam midazolam 1-hydroxymidazolam 1-hydroxymidazolam 1-hydroxymidazolam
959,PKDB00460,He2017,public,closed,3,8,4,433,39,0,Assessment of the Drug-Drug Interaction Potential Between Theacrine and Caffeine in Humans.,28875060,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) theacrine theacrine theacrine
148,PKDB00496,Edwards2017,public,closed,16,0,9,771,32,0,"Assessment of Pharmacokinetic Interactions Between Obeticholic Acid and Caffeine, Midazolam, Warfarin, Dextromethorphan, Omeprazole, Rosuvastatin, and Digoxin in Phase 1 Studies in Healthy Subjects.",28808886,obeticholic-acid obeticholic acid obeticholic acid caf caffeine caffeine (137x) midazolam midazolam midazolam warfarin warfarin warfarin r-warfarin r-warfarin r-warfarin s-warfarin s-warfarin s-warfarin digoxin digoxin digoxin omeprazole omeprazole omeprazole dmt dextromethorphan dextromethorphan rosuvastatin rosuvastatin rosuvastatin
990,PKDB00475,McQuilkin1995,public,closed,3,21,1,377,26,0,Analysis of within-subject variation of caffeine metabolism when used to determine cytochrome P4501A2 and N-acetyltransferase-2 activities.,7742721,"caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) 17u 17u 1,7-dimethyluric acid (17u) 1x 1x 1-methylxanthine (1x) afmu afmu 5-acetylamino-6-formylamino-3-methyluracil (afmu)"
1354,PKDB00953,Donzelli2014,public,closed,24,157,6,765,24,0,"The basel cocktail for simultaneous phenotyping of human cytochrome P450 isoforms in plasma, saliva and dried blood spots.",24218006,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) midazolam midazolam midazolam 1-hydroxymidazolam 1-hydroxymidazolam 1-hydroxymidazolam metoprolol metoprolol metoprolol alpha-hydroxymetoprolol alpha-hydroxymetoprolol alpha-hydroxymetoprolol efavirenz efavirenz efavirenz oh8-efavirenz 8-hydroxyefavirenz 8-hydroxyefavirenz losartan losartan losartan exp3174 exp3174 losartan carboxylic acid (e3174) omeprazole omeprazole omeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole
147,PKDB00499,Dumond2010,public,closed,1,0,13,534,24,0,A phenotype-genotype approach to predicting CYP450 and P-glycoprotein drug interactions with the mixed inhibitor/inducer tipranavir/ritonavir.,20147896,"caf caffeine caffeine (137x) 17u 17u 1,7-dimethyluric acid (17u) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) afmu afmu 5-acetylamino-6-formylamino-3-methyluracil (afmu) midazolam midazolam midazolam warfarin warfarin warfarin digoxin digoxin digoxin omeprazole omeprazole omeprazole dmt dextromethorphan dextromethorphan dtf dextrorphan dextrorphan vitamin-k vitamin k vitamin k ritonavir ritonavir ritonavir tipranavir tipranavir tipranavir"
159,PKDB00896,Kim2016,public,closed,1,0,7,568,22,0,"Effect of fermented red ginseng on cytochrome P450 and P-glycoprotein activity in healthy subjects, as evaluated using the cocktail approach.",27495955,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) midazolam midazolam midazolam 1-hydroxymidazolam 1-hydroxymidazolam 1-hydroxymidazolam losartan losartan losartan exp3174 exp3174 losartan carboxylic acid (e3174) omeprazole omeprazole omeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole fexofenadine fexofenadine fexofenadine dmt dextromethorphan dextromethorphan dtf dextrorphan dextrorphan
