study_name,source_file,source_sheet,individual_id,label,intervention,measurement,substance,tissue,method,time,time_unit,concentration,concentration_unit
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg,"caffeine_200mg, midazolam_2mg",concentration,caffeine,plasma,HPLC MS/MS,0.0,hr,0.0,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg,"caffeine_200mg, midazolam_2mg",concentration,caffeine,plasma,HPLC MS/MS,0.25,hr,2458.182,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg,"caffeine_200mg, midazolam_2mg",concentration,caffeine,plasma,HPLC MS/MS,0.5,hr,5207.273,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg,"caffeine_200mg, midazolam_2mg",concentration,caffeine,plasma,HPLC MS/MS,1.0,hr,4989.091,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg,"caffeine_200mg, midazolam_2mg",concentration,caffeine,plasma,HPLC MS/MS,1.5,hr,4581.8184,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg,"caffeine_200mg, midazolam_2mg",concentration,caffeine,plasma,HPLC MS/MS,2.0,hr,4392.727,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg,"caffeine_200mg, midazolam_2mg",concentration,caffeine,plasma,HPLC MS/MS,3.0,hr,4014.5454,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg,"caffeine_200mg, midazolam_2mg",concentration,caffeine,plasma,HPLC MS/MS,4.0,hr,3607.2727,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg,"caffeine_200mg, midazolam_2mg",concentration,caffeine,plasma,HPLC MS/MS,6.0,hr,2763.6365,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg,"caffeine_200mg, midazolam_2mg",concentration,caffeine,plasma,HPLC MS/MS,8.0,hr,2138.182,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg,"caffeine_200mg, midazolam_2mg",concentration,caffeine,plasma,HPLC MS/MS,12.0,hr,1265.4546,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg,"caffeine_200mg, midazolam_2mg",concentration,caffeine,plasma,HPLC MS/MS,24.0,hr,320.0,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg,"caffeine_200mg, midazolam_2mg",concentration,caffeine,plasma,HPLC MS/MS,36.0,hr,72.72727,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg,"caffeine_200mg, midazolam_2mg",concentration,caffeine,plasma,HPLC MS/MS,48.0,hr,87.27273,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg_OCA pre-treatment 10mg,"caffeine_200mg, midazolam_2mg,OCA pre-treatment 10mg",concentration,caffeine,plasma,HPLC MS/MS,0.0,hr,14.545455,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg_OCA pre-treatment 10mg,"caffeine_200mg, midazolam_2mg,OCA pre-treatment 10mg",concentration,caffeine,plasma,HPLC MS/MS,0.25,hr,1847.2727,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg_OCA pre-treatment 10mg,"caffeine_200mg, midazolam_2mg,OCA pre-treatment 10mg",concentration,caffeine,plasma,HPLC MS/MS,0.5,hr,5221.8184,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg_OCA pre-treatment 10mg,"caffeine_200mg, midazolam_2mg,OCA pre-treatment 10mg",concentration,caffeine,plasma,HPLC MS/MS,1.0,hr,5614.5454,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg_OCA pre-treatment 10mg,"caffeine_200mg, midazolam_2mg,OCA pre-treatment 10mg",concentration,caffeine,plasma,HPLC MS/MS,1.5,hr,5120.0,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg_OCA pre-treatment 10mg,"caffeine_200mg, midazolam_2mg,OCA pre-treatment 10mg",concentration,caffeine,plasma,HPLC MS/MS,2.0,hr,4829.091,ng/ml
Edwards2017,Edwards2017.xlsx,Fig1,,Fig1_Study_1_10mg_caffeine_200mg_ midazolam_2mg_OCA pre-treatment 10mg,"caffeine_200mg, midazolam_2mg,OCA pre-treatment 10mg",concentration,caffeine,plasma,HPLC MS/MS,3.0,hr,4465.4546,ng/ml
